,precision,recall,f1-score,support
business,0.8672566371681416,0.98,0.9201877934272301,100.0
entertainment,0.9861111111111112,0.9466666666666667,0.9659863945578231,75.0
politics,1.0,0.8681318681318682,0.9294117647058824,91.0
sport,0.9369369369369369,0.9904761904761905,0.962962962962963,105.0
tech,0.971830985915493,0.92,0.9452054794520549,75.0
accuracy,0.9439461883408071,0.9439461883408071,0.9439461883408071,0.9439461883408071
macro avg,0.9524271342263365,0.9410549450549451,0.9447508790211906,446.0
weighted avg,0.9483177115968336,0.9439461883408071,0.9440487703874669,446.0
