,business,entertainment,politics,sport,tech
business,0.98,0.0,0.0,0.01,0.01
entertainment,0.02666666666666667,0.9466666666666667,0.0,0.02666666666666667,0.0
politics,0.0989010989010989,0.0,0.8681318681318682,0.02197802197802198,0.01098901098901099
sport,0.009523809523809525,0.0,0.0,0.9904761904761905,0.0
tech,0.04,0.013333333333333334,0.0,0.02666666666666667,0.92
