,precision,recall,f1-score,support
business,0.9444444444444444,0.9714285714285714,0.9577464788732395,105.0
entertainment,0.9375,0.8955223880597015,0.9160305343511451,67.0
politics,0.9605263157894737,0.948051948051948,0.9542483660130718,77.0
sport,0.96,0.9896907216494846,0.9746192893401014,97.0
tech,0.9897959183673469,0.97,0.9797979797979798,100.0
accuracy,0.9596412556053812,0.9596412556053812,0.9596412556053812,0.9596412556053812
macro avg,0.9584533357202529,0.9549387258379411,0.9564885296751076,446.0
weighted avg,0.9597293381596207,0.9596412556053812,0.9594897293991284,446.0
