,business,entertainment,politics,sport,tech
business,0.9714285714285714,0.009523809523809525,0.009523809523809525,0.0,0.009523809523809525
entertainment,0.029850746268656716,0.8955223880597015,0.029850746268656716,0.04477611940298507,0.0
politics,0.025974025974025976,0.012987012987012988,0.948051948051948,0.012987012987012988,0.0
sport,0.010309278350515464,0.0,0.0,0.9896907216494846,0.0
tech,0.01,0.02,0.0,0.0,0.97
